business_id,business_name,business_type,industry,state,city,employees,operating_hours,floor_area_sqm,energy_source,solar_capacity_kw,monthly_revenue,created_at
BIZ-0001,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01
BIZ-0002,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01
BIZ-0003,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01
BIZ-0004,Factory SME 004,Factory,Manufacturing,Kano,Kano,122,18.11,2389.36,Generator,0.0,36594911.04,2024-01-01
BIZ-0005,Hospital SME 005,Hospital,Healthcare,Rivers,Port Harcourt,199,24.0,1234.85,Grid,0.0,37513451.9,2024-01-01
BIZ-0006,Hotel SME 006,Hotel,Hospitality,Oyo,Ibadan,36,23.17,1544.11,Hybrid,57.03,13568577.54,2024-01-01
BIZ-0007,Hotel SME 007,Hotel,Hospitality,Abuja,Abuja,67,19.4,734.08,Grid,0.0,7169604.05,2024-01-01
BIZ-0008,Factory SME 008,Factory,Manufacturing,Rivers,Port Harcourt,76,14.14,2850.9,Generator,0.0,55362476.97,2024-01-01
BIZ-0009,Cold Room SME 009,Cold Room,Cold Storage,Abuja,Abuja,21,22.76,688.72,Generator,0.0,9859997.24,2024-01-01
BIZ-0010,Cold Room SME 010,Cold Room,Cold Storage,Abuja,Abuja,14,22.46,777.42,Hybrid,11.93,6127710.05,2024-01-01
BIZ-0011,Hospital SME 011,Hospital,Healthcare,Lagos,Lagos,99,24.0,2791.53,Hybrid,47.64,23975400.3,2024-01-01
BIZ-0012,Factory SME 012,Factory,Manufacturing,Kano,Kano,71,16.49,2324.4,Generator,0.0,50921019.32,2024-01-01
BIZ-0013,Cold Room SME 013,Cold Room,Cold Storage,Kano,Kano,15,23.02,291.07,Hybrid,15.45,3041838.32,2024-01-01
BIZ-0014,Hotel SME 014,Hotel,Hospitality,Abuja,Abuja,58,21.58,539.97,Hybrid,42.01,11938326.43,2024-01-01
BIZ-0015,School SME 015,School,Education,Oyo,Ibadan,47,8.05,2439.26,Hybrid,60.45,11021379.61,2024-01-01
BIZ-0016,Cold Room SME 016,Cold Room,Cold Storage,Rivers,Port Harcourt,14,22.91,207.01,Hybrid,67.23,12572308.81,2024-01-01
BIZ-0017,Hospital SME 017,Hospital,Healthcare,Oyo,Ibadan,90,24.0,1818.44,Generator,0.0,24245212.22,2024-01-01
BIZ-0018,Bakery SME 018,Bakery,Food Production,Abuja,Abuja,19,14.67,405.0,Solar,20.91,1203317.0,2024-01-01
BIZ-0019,Hospital SME 019,Hospital,Healthcare,Kano,Kano,49,24.0,868.48,Solar,124.88,15662473.93,2024-01-01
